lower([from_user])	lower([to_user])
equityin	1kunalbahl
1markmoss_	1markmoss
prestonpyshi	1markmoss
ajaysingh3793	1stindianews
dileepche999	2gmanoj
zconseil	2pieds2roues
4evrstardancer	4taxfairness
adirtyhippie	4taxfairness
anitawade104	4taxfairness
imsimplygravy	4taxfairness
meidas_damon	4taxfairness
paul36130834	4taxfairness
tjotz	4taxfairness
zonker_tm	4taxfairness
ashishbansare	5paisa
brnithesh19	5paisa
followme_indu	5paisa
kanumularavinde	5paisa
lalatendu_lenka	5paisa
manas0902	5paisa
me__chandu	5paisa
nikhilkanoje6	5paisa
saone14	5paisa
tarunjain29jain	5paisa
thala25572	5paisa
themanasjaiswal	5paisa
anumodi_	8ap
channelsubtext	48hills
nattikoi	165france
sexymasaru3	165france
ianecart	666cart
lhcpjscart	666cart
kevinrjeffrey	999thebay
rajyada76804899	2021sumit
spiderversetm	2021sumit
remyanair4	_anirudh_goel_
danielschuman	_erinmansfield
dian_zhang_	_erinmansfield
amandaandere	_melissa_young
sjdollard1	_melissa_young
ajaynagpure	_socialstory
anandi010	_socialstory
insenroy	_socialstory
vishalsrungta	_socialstory
wricitiesindia	_socialstory
wriindia	_socialstory
unshackleny	_talkfm
letmebreathe_in	_yash28_
cielhrindia	a_mafoi
jamesbroughel	aa_millsap
kristacmitchell	aa_millsap
63dinesh64	aadhiranjith7
__arunkj__	aadhiranjith7
a_g_r_i_a_n	aadhiranjith7
aashikvfc	aadhiranjith7
aathan21274310	aadhiranjith7
aby7405	aadhiranjith7
achyuth_venkat	aadhiranjith7
ajakkumama9	aadhiranjith7
ajithku32262280	aadhiranjith7
ajiththalapat15	aadhiranjith7
anandhamanikand	aadhiranjith7
ananthsarkar	aadhiranjith7
aravind08923746	aadhiranjith7
arunkum22296350	aadhiranjith7
bad_smokker_420	aadhiranjith7
balacha45190873	aadhiranjith7
balachandrands1	aadhiranjith7
balamurugan_r1	aadhiranjith7
bigil2020	aadhiranjith7
bigilsurya18	aadhiranjith7
brunovfc1	aadhiranjith7
deepak63926233	aadhiranjith7
demon_shanu	aadhiranjith7
dobson_rb	aadhiranjith7
dongkkalai1	aadhiranjith7
duraiaravind	aadhiranjith7
evontweetz	aadhiranjith7
forever_annafan	aadhiranjith7
giriofl21	aadhiranjith7
gokuljb2	aadhiranjith7
govindsamy1	aadhiranjith7
harihar53490033	aadhiranjith7
harihar85825295	aadhiranjith7
harisha64452927	aadhiranjith7
