"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 14:31:57,FALSE,NA,"1352625052743823364",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BRUNOVFC1",13,TRUE,FALSE,NA,NA
"2","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 14:24:18,FALSE,NA,"1352623126836695042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rayyappan_Saran",13,TRUE,FALSE,NA,NA
"3","RT @Funnyma82213333: Common pt..Respective IH kings,,who were BO rulers are at same place no :4
#sharukhkhan #sharukh 
#Rajinikanth #Rajini…",FALSE,0,NA,2021-01-22 14:09:27,FALSE,NA,"1352619387925131264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhanuPr88167431",51,TRUE,FALSE,NA,NA
"4","RT @Funnyma82213333: Common pt..Respective IH kings,,who were BO rulers are at same place no :4
#sharukhkhan #sharukh 
#Rajinikanth #Rajini…",FALSE,0,NA,2021-01-22 13:56:11,FALSE,NA,"1352616050257317888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BoomBoo72308129",51,TRUE,FALSE,NA,NA
"5","RT @Funnyma82213333: Common pt..Respective IH kings,,who were BO rulers are at same place no :4
#sharukhkhan #sharukh 
#Rajinikanth #Rajini…",FALSE,0,NA,2021-01-22 13:55:45,FALSE,NA,"1352615939951390721",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Prem29540401",51,TRUE,FALSE,NA,NA
"6","@LMKMovieManiac @actorvijay #Thalaivar #Rajini ruled Indian Box Office <U+0001F4A5>
Now its #Thalapathy #Vijay Time to rule In… https://t.co/6RzKP5iUPy",FALSE,2,"LMKMovieManiac",2021-01-22 12:45:39,TRUE,"1352462708298289154","1352598301665710082","221647151","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pratheshchaos23",0,FALSE,FALSE,NA,NA
"7","RT @Funnyma82213333: Common pt..Respective IH kings,,who were BO rulers are at same place no :4
#sharukhkhan #sharukh 
#Rajinikanth #Rajini…",FALSE,0,NA,2021-01-22 12:25:42,FALSE,NA,"1352593279276081155",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Komal97358670",51,TRUE,FALSE,NA,NA
"8","RT @EliteAJITHIANS: #AJITH and #Rajini Garu's Films  Comes More On TV in our side Than Our OWN FILMS DO..<U+0001F525>

- SALMAN KHAN

#ThalaAJITH / #V…",FALSE,0,NA,2021-01-22 11:36:49,FALSE,NA,"1352580975742476289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeevaNa56662472",665,TRUE,FALSE,NA,NA
"9","RT @Rayyappan_Saran: Last 5 Movies Cumulative Tamil Nadu Gross<U+0001F525>

#Thalapathy 570Cr+ (#Master Still Running)<U+0001F4A5>

#Rajini - 460Cr+
#Ajith   - 3…",FALSE,0,NA,2021-01-22 10:34:16,FALSE,NA,"1352565235115200513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Naveen18914828",13,TRUE,FALSE,NA,NA
"10","RT @Ramk8068: Number of WW 100 Cr Grossers for Kollywood Actor <U+0001F44D>

• #Rajini  -  9
• #Suriya - 8
• Vijay      - 8
•Ajith       - 5
• Karthi…",FALSE,0,NA,2021-01-22 10:15:23,FALSE,NA,"1352560486026362881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neo_shadys",492,TRUE,FALSE,NA,NA
